イベント名,開催日,開催場所,緯度,経度,イベントURL,住所,都道府県
［第7回］Startup Weekend 静岡,2024-09-06T18:00:00+09:00,有限責任監査法人トーマツ 17階セミナールーム,34.9725369,138.3867008,https://swshizuoka.doorkeeper.jp/events/175102,静岡県静岡市葵区紺屋町17-1,静岡県
【オフライン開催】Startup Weekend 東京 Meetup ,2024-09-09T19:00:00+09:00,SOIL -オープンイノベーションラボ-（渋谷駅 徒歩3分）,35.6599097,139.7032101,https://swtokyo.doorkeeper.jp/events/176866,東京都渋谷区渋谷1-13-9　渋谷たくぎんビル 7階,東京都
【原宿オフライン開催!】Startup Weekend Tokyo Entertainment 2024,2024-09-13T18:00:00+09:00,G's ACADEMY TOKYO,35.6691088,139.7032512,https://swtokyo.doorkeeper.jp/events/175476,東京都渋谷区神宮前６丁目３５−３,東京都
Startup Weekend Yokohama 秋祭り 2024,2024-09-13T19:00:00+09:00,横浜駅周辺の居酒屋,,,https://swyokohama.doorkeeper.jp/events/176702,,
お困りごと探求から始めるビジネスの見つけ方,2024-09-14T10:00:00+09:00,岩国しごと交流・創業スペース Class Biz.,34.1696342,132.2234685,https://swiwakuni.doorkeeper.jp/events/175628,山口県岩国市麻里布町2丁目5番17号,山口県
【学生向け】アイデアを”カタチ”にしよう ～検証で迷いを自信に～,2024-09-14T13:00:00+09:00,静岡市コ・クリエーションスペース,34.9750527,138.3861097,https://swshizuoka.doorkeeper.jp/events/176310,静岡県静岡市葵区御幸町３−２１ 産学交流センター内大会議室 ペガサートビル 7階,静岡県
スタートアップ／地域課題解決トークセッション（※Startup Weekend 鳥栖vol.1 プレイベント２）,2024-09-15T14:00:00+09:00,笑顔が見たいから,33.3805662,130.4988441,https://swtosu.doorkeeper.jp/events/175908,佐賀県鳥栖市養父町６５−１,佐賀県
女性起業家に聞く！スタートアップで社会を変える方法,2024-09-17T19:00:00+09:00,静岡市コ・クリエーションスペース,34.9750527,138.3861097,https://swshizuoka.doorkeeper.jp/events/176831,静岡県静岡市葵区御幸町3-21 ペガサート7 階,静岡県
地方から始める！スタートアップのためのマーケティング実践講座 Vol.1,2024-09-19T19:00:00+09:00,,,,https://swshizuoka.doorkeeper.jp/events/176941,,
［第8回］Startup Weekend 鳥取,2024-09-20T18:00:00+09:00,青翔開智中学校・高等学校,35.4821284,134.2564151,https://swtottori.doorkeeper.jp/events/175159,鳥取県鳥取市国府町新通り3-301-2,鳥取県
［初開催］Startup Weekend 小山,2024-09-20T18:00:00+09:00,小山市生涯学習センター,36.312936,139.8055335,https://swoyama.doorkeeper.jp/events/173126,小山市中央町3-7-1 ロブレビル6F 小山駅 徒歩1分,
［初開催］Startup Weekend 長与 vol.1,2024-09-27T18:00:00+09:00,長崎県立大学 シーボルト校 情報セキュリティ産学共同研究センター,32.8091046,129.875819,https://swnagayo.doorkeeper.jp/events/174587,長崎県西彼杵郡長与町まなび野1-1-1,長崎県
Meet Up 33GAKU × Startup,2024-10-09T18:30:00+09:00,サザンガク,36.2355083,137.9700026,https://swmatsumoto.doorkeeper.jp/events/176431,長野県松本市大手３丁目３−９ NTT東日本大名町ビル 1F,長野県
[初開催] Startup Weekend 土浦 1st,2024-10-11T18:00:00+09:00,MilkyWay International Nursery Center 土浦校 2階,36.1139325,140.2082332,https://swtsuchiura.doorkeeper.jp/events/173140,〒300-0007 茨城県土浦市板谷6丁目648-24,茨城県
［第2回］Startup Weekend 岩国,2024-10-11T18:00:00+09:00,岩国しごと交流・創業スペース Class Biz.,34.1696342,132.2234685,https://swiwakuni.doorkeeper.jp/events/175433,山口県岩国市麻里布町2丁目5番17号 1階,山口県
［初開催］Startup Weekend 鳥栖 vol.1,2024-10-18T18:00:00+09:00,笑顔が見たいから,33.3805662,130.4988441,https://swtosu.doorkeeper.jp/events/174908,〒841-0055 佐賀県鳥栖市養父町６５−１,佐賀県
［第４回］Startup Weekend 磐田　延期8/30→10/18開催,2024-10-18T18:00:00+09:00,株式会社ソミックマネージメントホールディングス　本社ビル,34.7108313,137.8523437,https://swiwata.doorkeeper.jp/events/175150,静岡県磐田市中泉1丁目1－1,静岡県
［第三回］Startup Weekend 上越,2024-10-25T18:00:00+09:00,bibit,37.1129127,138.2444097,https://swjoetsu.doorkeeper.jp/events/173463,新潟県上越市本町４丁目１−７,新潟県
StartupWeekend 熊本 vol.16 @XOSSPOINT.,2024-10-25T18:00:00+09:00,くまもと森都心プラザ XOSS POINT.,32.7904029,130.691029,https://swkumamoto.doorkeeper.jp/events/176316,〒860-0047 熊本県熊本市西区春日１丁目１４−１,熊本県
